filename,class_name,x,y,w,h
000005.jpg,chair,131,164,27,76
000005.jpg,chair,94,190,39,65
000005.jpg,chair,16,185,28,78
000005.jpg,chair,120,147,24,63
000005.jpg,chair,132,121,16,20
000007.jpg,car,144,128,161,188
000009.jpg,horse,76,150,90,94
000009.jpg,person,85,127,35,85
000009.jpg,person,137,159,19,78
000009.jpg,person,124,157,17,78
000012.jpg,car,114,123,87,116
000016.jpg,bicycle,133,122,143,180
000017.jpg,person,108,80,44,84
000017.jpg,horse,115,127,146,159
000019.jpg,cat,160,103,113,100
000019.jpg,cat,62,111,114,87
000020.jpg,car,121,126,202,120
000021.jpg,dog,61,140,121,69
000021.jpg,person,182,116,84,200
000021.jpg,person,72,100,83,127
000021.jpg,person,51,134,87,107
000023.jpg,bicycle,85,164,158,121
000023.jpg,bicycle,189,161,70,125
000023.jpg,bicycle,31,152,59,144
000023.jpg,person,40,83,77,165
000023.jpg,person,82,104,161,206
000023.jpg,person,187,109,73,217
000024.jpg,train,153,138,131,55
000026.jpg,car,96,113,111,59
000030.jpg,bicycle,48,148,65,50
000030.jpg,person,45,135,44,79
000030.jpg,person,167,128,69,91
000032.jpg,aeroplane,107,104,121,84
000032.jpg,aeroplane,74,84,29,28
000032.jpg,person,91,163,8,39
000032.jpg,person,16,170,8,39
000033.jpg,aeroplane,114,113,220,95
000033.jpg,aeroplane,202,130,27,16
000033.jpg,aeroplane,165,126,39,21
000034.jpg,train,148,127,152,104
000034.jpg,train,147,86,119,34
000035.jpg,person,43,136,85,158
000035.jpg,person,153,124,111,131
000035.jpg,person,217,153,14,73
000035.jpg,diningtable,113,203,223,42
000036.jpg,dog,117,95,197,119
000039.jpg,tvmonitor,112,110,84,113
000041.jpg,tvmonitor,178,52,31,40
000041.jpg,person,117,133,41,141
000041.jpg,person,88,132,28,65
000042.jpg,train,171,109,106,176
000042.jpg,train,53,112,105,176
000044.jpg,chair,83,111,165,221
000044.jpg,cat,92,106,95,75
000046.jpg,bird,178,134,72,59
000047.jpg,car,106,105,199,209
000047.jpg,chair,207,135,22,40
000048.jpg,bird,104,128,139,160
000048.jpg,person,91,112,179,224
000050.jpg,chair,201,122,39,61
000050.jpg,chair,131,89,17,24
000050.jpg,bottle,166,136,9,44
000050.jpg,bottle,184,124,10,32
000050.jpg,bottle,126,128,9,40
000050.jpg,bottle,136,125,8,39
000050.jpg,person,81,141,101,167
000050.jpg,person,20,120,39,156
000050.jpg,person,99,79,33,77
000050.jpg,person,155,90,54,104
000051.jpg,motorbike,191,153,66,142
000051.jpg,motorbike,119,73,144,146
000051.jpg,person,197,76,22,80
000052.jpg,pottedplant,195,166,20,21
000052.jpg,pottedplant,140,171,19,22
000052.jpg,pottedplant,92,172,20,24
000052.jpg,pottedplant,34,174,21,20
000052.jpg,pottedplant,38,77,20,24
000052.jpg,pottedplant,92,75,18,23
000060.jpg,car,96,158,191,131
000060.jpg,car,108,100,214,116
000060.jpg,car,95,56,189,76
000060.jpg,car,112,47,185,85
000060.jpg,car,151,35,124,62
000061.jpg,boat,159,98,73,180
000061.jpg,boat,104,157,43,26
000063.jpg,dog,112,116,115,96
000063.jpg,chair,113,112,158,223
000064.jpg,bird,102,117,203,214
000065.jpg,dog,90,146,177,154
000066.jpg,person,98,125,9,26
000066.jpg,person,116,132,14,46
000066.jpg,person,126,134,12,42
000072.jpg,motorbike,125,122,197,180
000072.jpg,motorbike,122,40,200,42
000073.jpg,pottedplant,148,135,152,142
000073.jpg,pottedplant,20,137,37,137
